Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Rep_Tcheca_1 Czech Liga,Bohemians 1905,13,13,23.1,46.2,77.0,75.8,13.1,7.5,17.0,9.9,3,6,7.7,15.4,7.7,15.4,7.7,15.4
Rep_Tcheca_1 Czech Liga,Dukla Praha,13,13,7.7,7.7,74.0,90.0,,,,,1,1,0.0,0.0,7.7,0.0,0.0,7.7
Rep_Tcheca_1 Czech Liga,Hradec Králové,13,13,30.8,46.2,70.2,81.5,10.3,14.3,14.6,17.6,4,6,15.4,15.4,15.4,0.0,15.4,30.8
Rep_Tcheca_1 Czech Liga,Jablonec,13,13,15.4,38.5,69.0,79.8,9.9,11.3,14.3,14.2,2,5,7.7,15.4,7.7,15.4,0.0,23.1
Rep_Tcheca_1 Czech Liga,Karviná,13,13,46.2,38.5,75.0,72.8,10.5,8.7,14.0,12.0,6,5,15.4,23.1,23.1,15.4,15.4,15.4
Rep_Tcheca_1 Czech Liga,Mladá Boleslav,14,12,57.1,25.0,71.0,72.0,9.3,13.0,13.1,18.1,8,3,28.6,16.7,28.6,0.0,14.3,8.3
Rep_Tcheca_1 Czech Liga,Pardubice,13,13,30.8,46.2,80.5,72.0,3.1,10.8,3.9,15.0,4,6,0.0,30.8,15.4,15.4,15.4,15.4
Rep_Tcheca_1 Czech Liga,Sigma Olomouc,13,13,30.8,30.8,75.8,74.2,7.6,11.1,10.1,14.9,4,4,7.7,7.7,15.4,15.4,23.1,15.4
Rep_Tcheca_1 Czech Liga,Slavia Praha,13,13,69.2,69.2,75.7,74.8,11.4,9.8,15.1,13.2,9,9,23.1,38.5,23.1,23.1,38.5,30.8
Rep_Tcheca_1 Czech Liga,Slovan Liberec,13,13,38.5,61.5,79.6,75.1,9.0,9.9,11.4,13.2,5,8,7.7,30.8,7.7,30.8,30.8,30.8
Rep_Tcheca_1 Czech Liga,Slovácko,13,13,46.2,23.1,78.2,91.7,7.9,6.1,10.2,6.7,6,3,7.7,0.0,30.8,0.0,23.1,23.1
Rep_Tcheca_1 Czech Liga,Sparta Praha,13,13,76.9,38.5,77.5,73.8,9.0,8.5,11.6,11.6,10,5,15.4,7.7,46.2,30.8,53.8,23.1
Rep_Tcheca_1 Czech Liga,Teplice,13,13,30.8,46.2,78.0,76.2,8.8,8.5,11.2,11.1,4,6,7.7,7.7,15.4,23.1,15.4,23.1
Rep_Tcheca_1 Czech Liga,Viktoria Plzeň,13,13,61.5,30.8,81.1,64.2,10.1,2.8,12.5,4.3,8,4,7.7,30.8,15.4,0.0,46.2,7.7
Rep_Tcheca_1 Czech Liga,Zlín,13,13,46.2,23.1,73.2,81.0,10.2,14.0,14.0,17.3,6,3,15.4,7.7,38.5,7.7,7.7,15.4
Turquia_1 Super Lig,Alanyaspor,14,13,35.7,61.5,73.8,82.5,8.5,12.1,11.6,14.6,5,8,14.3,15.4,14.3,15.4,21.4,30.8
Turquia_1 Super Lig,Antalyaspor,13,14,38.5,21.4,77.2,80.0,13.1,4.6,16.9,5.7,5,3,15.4,0.0,7.7,7.1,15.4,21.4
